"ID";"ParkingName";"global_id";"ParkingZoneNumber";"AdmArea";"District";"Address";"WorkingHours";"Price";"CarCapacity";"Longitude_WGS84";"Latitude_WGS84";"Coordinates";"geoData";
"3211168";"Парковка №3211 (68)";"281949918";"3211";"Западный административный округ";"район Дорогомилово";"Улица Можайский Вал, Дом 8Б";"круглосуточно";"60.0";"17";"37.5564326539443";"55.7436969766783";"55.7431734,37.5560355|55.744226,37.5568353";"{type=MultiLineString, coordinates=[[[37.556035500232625, 55.743173400182485], [37.55683529997446, 55.744225999948654]]], center=[[37.5564354001036, 55.7436997000656]]}";
"3211167";"Парковка №3211 (67)";"281949919";"3211";"Западный административный округ";"район Дорогомилово";"Улица Можайский Вал, Дом 8Б";"круглосуточно";"60.0";"4";"37.556981150323";"55.7444273935355";"55.7443205,37.5569022|55.744534,37.557061";"{type=MultiLineString, coordinates=[[[37.55690220020863, 55.74432049995615], [37.55706099989297, 55.74453399991705]]], center=[[37.5569816000508, 55.7444272499366]]}";
"3211166";"Парковка №3211 (66)";"281949920";"3211";"Западный административный округ";"район Дорогомилово";"Улица Можайский Вал, Дом 3";"круглосуточно";"60.0";"5";"37.5577666300645";"55.7452633790536";"55.745114,37.5576689|55.7454128,37.5578653";"{type=MultiLineString, coordinates=[[[37.55766889972722, 55.745114000139694], [37.55786530019439, 55.745412800136776]]], center=[[37.5577670999608, 55.7452634001382]]}";
"3211165";"Парковка №3211 (65)";"281949921";"3211";"Западный административный округ";"район Дорогомилово";"Улица Можайский Вал, Дом 1";"круглосуточно";"60.0";"4";"37.5580338704358";"55.7456420746453";"55.745554,37.5579618|55.7457297,37.5581069";"{type=MultiLineString, coordinates=[[[37.55796179991716, 55.74555400017185], [37.558106900293424, 55.745729699967114]]], center=[[37.5580343501053, 55.7456418500695]]}";
"3204233";"Парковка №3204 (133)";"281949922";"3204";"Центральный административный округ";"Тверской район";"Порядковый Переулок, Дом 5Б, Строение 3";"круглосуточно";"60.0";"13";"37.5905195956586";"55.7864844080592";"55.7866087,37.5905531|55.7863597,37.5904861";"{type=MultiLineString, coordinates=[[[37.59055309973489, 55.786608700060725], [37.59048609978774, 55.78635969977208]]], center=[[37.5905195997613, 55.7864841999164]]}";
"3204234";"Парковка №3204 (134)";"281949923";"3204";"Центральный административный округ";"Тверской район";"Порядковый Переулок, Дом 9";"круглосуточно";"60.0";"6";"37.5903505060884";"55.7858562278365";"55.785753,37.5903225|55.785959,37.5903785";"{type=MultiLineString, coordinates=[[[37.590322500404845, 55.78575299984918], [37.590378499583004, 55.785958999971335]]], center=[[37.5903504999939, 55.7858559999102]]}";
"3204235";"Парковка №3204 (135)";"281949924";"3204";"Центральный административный округ";"Тверской район";"Порядковый Переулок, Дом 19, Строение 1";"круглосуточно";"60.0";"6";"37.5901694904106";"55.785304434477";"55.7854157,37.5902045|55.7851927,37.5901345";"{type=MultiLineString, coordinates=[[[37.59020450040405, 55.78541570021103], [37.59013450008386, 55.785192699928984]]], center=[[37.590169500244, 55.78530420007]]}";
"3204236";"Парковка №3204 (136)";"281949925";"3204";"Центральный административный округ";"Тверской район";"Порядковый Переулок, Дом 19, Строение 1";"круглосуточно";"60.0";"3";"37.5900996299127";"55.7850654532094";"55.7851342,37.5901181|55.7849962,37.5900811";"{type=MultiLineString, coordinates=[[[37.590118100440016, 55.78513419990754], [37.590081099731805, 55.78499620014355]]], center=[[37.5900996000859, 55.7850652000255]]}";
"3204237";"Парковка №3204 (137)";"281949926";"3204";"Центральный административный округ";"Тверской район";"Порядковый Переулок, Дом 21";"круглосуточно";"60.0";"10";"37.5899348796883";"55.7844771860337";"55.784326,37.5898924|55.784628,37.5899774";"{type=MultiLineString, coordinates=[[[37.58989239962321, 55.784326000195705], [37.58997740001203, 55.78462799986812]]], center=[[37.5899348998176, 55.7844770000319]]}";
"3211156";"Парковка №3211 (56)";"281949927";"3211";"Западный административный округ";"район Дорогомилово";"Кутузовский Проспект, Дом 26, Корпус 2";"круглосуточно";"60.0";"9";"37.5398964561907";"55.7435077034656";"55.7437573,37.5396234|55.7432598,37.5401676";"{type=MultiLineString, coordinates=[[[37.53962340036601, 55.74375730003159], [37.54016759976511, 55.743259799986234]]], center=[[37.5398955000655, 55.7435085500089]]}";
